	MR	ARI_o	ARI_r	Time
0	0.0	0.8972631795044452	0.8904973091130401	14.96567
1	0.0	0.8612856724029603	0.8581623365128949	15.12265
2	0.0	0.8525394258120748	0.8467310559034367	14.7729
3	0.0	0.8587151003630877	0.8582431456454551	15.15111
4	0.0	0.8660391776856585	0.8626223976099638	15.57482
5	0.0	0.8336952504715808	0.8301943920414597	14.69248
6	0.0	0.8459189421588046	0.8439370120155475	15.16269
7	0.0	0.8715215915160561	0.8709783117120419	17.38381
8	0.0	0.8837924208045913	0.8795904690148396	15.47632
9	0.0	0.8392305693064833	0.8342276461803251	16.3023
10	0.0	0.8714055324353097	0.8686231104656734	15.49112
11	0.0	0.8839657197223215	0.8786052284280259	15.72776
12	0.0	0.8899206014918664	0.8864837978974596	15.77835
13	0.0	0.8571144746506651	0.8533515087781459	15.13608
14	0.0	0.8864819620630053	0.8835851469077001	14.74056
15	0.0	0.8922217687664802	0.8901076717362002	15.10101
16	0.0	0.8918976973246338	0.8873056479992961	15.05136
17	0.0	0.8682221685167173	0.8651010680099216	14.9687
18	0.0	0.8457732908677229	0.8438556445236916	15.15257
19	0.0	0.8697927180327822	0.8666554759556596	15.44624
20	0.0	0.8578312554701822	0.8513354109157547	14.54695
21	0.0	0.847448187575071	0.8429256673993912	14.45537
22	0.0	0.8457844881958659	0.8415777494132859	14.51682
23	0.0	0.8391137501136283	0.8361555019904904	14.71644
24	0.0	0.8399648560688336	0.8360972697677621	15.66821
25	0.0	0.8810396796835122	0.8798226332498533	15.06868
26	0.0	0.8617741159484882	0.8602022272045545	15.17298
27	0.0	0.8582361210809769	0.857424545744911	16.98084
28	0.0	0.8944532929108427	0.8919101256082411	20.02926
29	0.0	0.8960019277133915	0.8923775125681189	15.60004
30	0.0	0.8813566810160322	0.8761875054784297	16.77129
31	0.0	0.8719040683556231	0.8675288887995928	16.7548
32	0.0	0.869776092229276	0.8666779342007057	18.11229
33	0.0	0.883842508786909	0.8794725477402457	16.15989
34	0.0	0.8763658142929293	0.8740829332389685	16.76323
35	0.0	0.849535853413745	0.8466300788404563	15.7757
36	0.0	0.8633912697771705	0.8578953406518927	15.82331
37	0.0	0.8758728735558237	0.8730022932745823	17.75906
38	0.0	0.8714860150656792	0.8692270946482211	20.2072
39	0.0	0.8562351021491427	0.8541910045982161	19.37599
40	0.0	0.8514285103203499	0.8472140469580979	16.40735
41	0.0	0.8669947038444755	0.8633686738632351	15.2299
42	0.0	0.8738941120512737	0.8697635384862157	15.52878
43	0.0	0.8652408309408666	0.8612355610395512	17.29908
44	0.0	0.8553302756455412	0.8527055440058066	14.87238
45	0.0	0.8796862057375747	0.8751826417648487	15.25717
46	0.0	0.8819948416029291	0.8765054086649391	15.11329
47	0.0	0.8467513007615934	0.8424433375389669	14.15148
48	0.0	0.8863122601680059	0.8859620313986537	14.42174
49	0.0	0.8545674722974359	0.8523071167544402	14.38615
50	0.0	0.8932941993084242	0.8891714695328743	13.6928
51	0.0	0.8995244558339639	0.8952811440944188	14.13641
52	0.0	0.8832154070242858	0.8793397465774755	14.2134
53	0.0	0.8775728654568687	0.8743465290607764	15.61355
54	0.0	0.8846404121761944	0.8804608999176741	14.46496
55	0.0	0.889114704681182	0.8843064304917142	14.59802
56	0.0	0.8594693119774552	0.8576737039765513	14.03874
57	0.0	0.882140518145355	0.8787125455337553	14.40548
58	0.0	0.8982110167662521	0.8934236010383171	15.10273
59	0.0	0.8904591784463296	0.8859737582873345	14.69739
60	0.0	0.8549107050068672	0.852410869581771	15.10595
61	0.0	0.9010403702861928	0.896241746186535	14.94079
62	0.0	0.8714557514021105	0.8698404951558364	15.62444
63	0.0	0.8583790234298174	0.8558385536487979	17.38582
64	0.0	0.8700108974344652	0.8668934978036862	15.46277
65	0.0	0.847609477860363	0.8464036301791111	15.33896
66	0.0	0.8570707019649648	0.8519944364904712	14.91838
67	0.0	0.8794566059002188	0.8754553188491309	14.84981
68	0.0	0.8644454434786843	0.8637660547635235	14.6931
69	0.0	0.8845377823377228	0.880923344808973	15.20599
70	0.0	0.8657033479184976	0.8630477533518092	15.62936
71	0.0	0.8617984284231468	0.8603093649546505	14.85457
72	0.0	0.8893123700926909	0.8823539893490868	14.90083
73	0.0	0.8636044670382257	0.8583594748364295	15.65474
74	0.0	0.8758877490905107	0.8685628917562384	14.32591
75	0.0	0.8909415468554999	0.8859025747525581	14.11785
76	0.0	0.8639489358391983	0.861078390076557	14.79925
77	0.0	0.8860595693019294	0.8806198439634859	14.89269
78	0.0	0.8613878057106299	0.8597043913906663	15.21917
79	0.0	0.8438741774899574	0.841774720622698	19.8973
80	0.0	0.8918045193732742	0.8864873305641353	27.67306
81	0.0	0.8760280351422618	0.8715537214682814	18.80895
82	0.0	0.8919941538095879	0.8884156270636133	38.8012
83	0.0	0.8821670180601019	0.8770661359830674	27.99414
84	0.0	0.8818406637569046	0.8806930797260982	46.08865
85	0.0	0.8541238803157878	0.8496715364862212	25.07801
86	0.0	0.8748330535095611	0.8722944677834475	14.38594
87	0.0	0.8596734020406971	0.8578052860338762	14.07468
88	0.0	0.8696736112756832	0.8642089777789391	14.65629
89	0.0	0.881851509068416	0.8781458931815705	20.9082
90	0.0	0.8774275728259372	0.8742441076602333	25.42804
91	0.0	0.8741886415120474	0.8713165829490311	17.03455
92	0.0	0.8897354776097474	0.8858642711013711	15.41669
93	0.0	0.8639040141126803	0.8599296874948346	16.48773
94	0.0	0.8861558631734507	0.8819606026836864	16.02756
95	0.0	0.8754064857848801	0.8723398060123101	15.16197
96	0.0	0.8522869172897232	0.8489768382126541	15.18595
97	0.0	0.8873995164475171	0.885762030213903	14.90138
98	0.0	0.8695149878232578	0.8656670109041215	16.9369
99	0.0	0.8443772089402501	0.8376190182883879	15.72255
100	0.05	0.6197633447787949	0.6292274809733971	17.06374
101	0.05	0.79177541546505	0.7946289628013696	16.59745
102	0.05	0.751581913789005	0.75722276201089	16.60978
103	0.05	0.649816039069795	0.6600395478610461	17.2287
104	0.05	0.6720320048990736	0.6878330493099643	17.71088
105	0.05	0.7109019659340221	0.7173312541586465	18.02589
106	0.05	0.7279827435645784	0.7301824750932783	18.17593
107	0.05	0.6675184144862983	0.6723326574467058	17.67035
108	0.05	0.7237062723893886	0.7406545241025059	19.15082
109	0.05	0.6768380459425312	0.6881480713542324	18.03298
110	0.05	0.5788121552471599	0.5894011700924391	29.63087
