	MR	ARI_o	ARI_r	Time
58	0.25	0.8055008991230874	0.8326850515193601	0.23759
59	0.25	0.7348468353898651	0.7651353405459402	0.20808
60	0.3	0.7240547840422906	0.7576506465360572	0.19666
61	0.3	0.762450195273364	0.8012763471418178	0.2293
62	0.3	0.7878842485997509	0.8264820760356895	0.25854
63	0.3	0.7764820582813609	0.8089404072340577	0.20629
64	0.3	0.749504300649526	0.7911224331496887	0.4353
65	0.3	0.7913232436478853	0.8173202408968219	0.20156
66	0.3	0.7715353549029222	0.8150509746595612	0.22617
67	0.3	0.7279551405401843	0.7765834540891858	0.26365
68	0.3	0.7561859487614113	0.7942753544798226	0.21426
69	0.3	0.7675712645709355	0.7933291351610868	0.20764
70	0.35	0.7406051321431951	0.7810386650830382	0.19452
71	0.35	0.7437190114854053	0.778918535144151	0.21029
72	0.35	0.747246555853224	0.7899272010195351	0.20888
73	0.35	0.754705386529322	0.8189221694310493	0.19105
74	0.35	0.7941642538736683	0.8365889696993121	0.4784
75	0.35	0.7360476064744527	0.7869616737455662	0.21578
76	0.35	0.7402157868538655	0.7850433357111002	0.20322
77	0.35	0.7272295829153882	0.769460348643168	0.42215
78	0.35	0.7199234356693608	0.7599398350065223	0.20036
79	0.35	0.7580930654531097	0.8086527610623424	0.22187
80	0.4	0.7249919552331184	0.7765268079324245	0.19768
81	0.4	0.7219348886126352	0.7726211074180214	0.29696
82	0.4	0.7547154000828	0.8090490624932526	0.22916
83	0.4	0.7173803028597396	0.7705848462740288	0.24464
84	0.4	0.7908969741468839	0.8413019389397793	0.21428
85	0.4	0.7441320954192796	0.7842445783317619	0.23236
86	0.4	0.7287136720065581	0.7801838978862244	0.26538
87	0.4	0.7320566784067689	0.7768172449110132	0.19169
88	0.4	0.7101658169968341	0.7508955870393367	0.29121
89	0.4	0.7035306643153205	0.7425600322432804	0.20243
90	0.45	0.6879520274940104	0.7517852142947051	0.21709
91	0.45	0.7374798438951585	0.7911764187009692	0.21117
92	0.45	0.7216766796150939	0.7681627607403521	0.24246
93	0.45	0.733443909727544	0.7787749138802366	0.26185
94	0.45	0.6729149615113528	0.7276871779761419	0.22652
95	0.45	0.6873797042174958	0.7519520430601409	0.20491
96	0.45	0.6550323172776117	0.7011205027676289	0.25988
97	0.45	0.6931799346689068	0.7435244906451249	0.19877
98	0.45	0.691967685685457	0.7427556475074998	0.20295
99	0.45	0.7074550046807355	0.7724376012325791	0.23215
100	0.5	0.6470896058856911	0.6991668728329887	0.18819
101	0.5	0.661323845458005	0.7213693610135287	0.23929
102	0.5	0.5425802227522197	0.5916566412011729	0.20158
103	0.5	0.6643159820754875	0.7210264978466794	0.23924
104	0.5	0.664573013160077	0.7219848456573882	0.18841
105	0.5	0.662864863221667	0.7163400763666574	0.21992
106	0.5	0.6734775304391301	0.7319339299953694	0.37201
107	0.5	0.6417966021102911	0.7108413687544872	0.22084
108	0.5	0.6600551249619828	0.7086572110972267	0.25213
109	0.5	0.6694853311987498	0.7346123982852051	0.27461
110	0.55	0.6100842770983099	0.6641834883782889	0.26429
111	0.55	0.6810451840480073	0.7452985410055735	0.21734
112	0.55	0.6208422523133431	0.6766997229705664	0.30411
113	0.55	0.6761917718601055	0.7369407508850018	0.24471
114	0.55	0.5680955734051192	0.6250514324409985	0.20908
115	0.55	0.6703183455676367	0.7388440280701895	0.32125
116	0.55	0.6474863289792377	0.7065503843122123	0.22611
117	0.55	0.6311463180842534	0.6963689010961455	0.18797
118	0.55	0.6065325198944957	0.6630903145449857	0.18416
119	0.55	0.5815368345232218	0.6514571984900135	0.33318
120	0.6	0.6226858633478577	0.6902882869185195	0.21973
121	0.6	0.5858446732992524	0.6537048462793242	0.19287
122	0.6	0.5096581874611451	0.5662043962021015	0.21232
123	0.6	0.6270026458413741	0.6926206179095641	0.20154
124	0.6	0.6045652702187003	0.6675930515209085	0.20832
125	0.6	0.5269550394439295	0.5799467089048139	0.1909
126	0.6	0.5287851906508226	0.5887054810615798	0.36727
