	MR	ARI_o	ARI_r	Time
0	0.0	0.8471448163709271	0.8471448163709271	1.62708
1	0.0	0.8693311500199985	0.8693311500199985	0.64026
2	0.0	0.8871128469194094	0.8871128469194094	0.6467
3	0.0	0.8756977128262946	0.8756977128262946	0.64337
4	0.0	0.8625970544639481	0.8625970544639481	0.64935
5	0.0	0.8766895901511862	0.8766895901511862	0.62861
6	0.0	0.8560892818193252	0.8560892818193252	0.66644
7	0.0	0.8515700827845656	0.8515700827845656	0.61975
8	0.0	0.8473192607695033	0.8473192607695033	0.66217
9	0.0	0.875691926194416	0.875691926194416	0.6384
10	0.0	0.8734426833457448	0.8734426833457448	0.63674
11	0.0	0.8508993023177817	0.8508993023177817	0.62682
12	0.0	0.8690228569687796	0.8690228569687796	0.62681
13	0.0	0.8604114964890592	0.8604114964890592	0.62671
14	0.0	0.8736952792789924	0.8736952792789924	0.64033
15	0.0	0.8518718990659195	0.8518718990659195	0.64052
16	0.0	0.849456426131604	0.849456426131604	0.65341
17	0.0	0.8657164521031999	0.8657164521031999	0.646
18	0.0	0.8833825231848296	0.8833825231848296	0.62568
19	0.0	0.882524207244769	0.882524207244769	0.63959
20	0.0	0.8586813237456073	0.8586813237456073	0.65274
21	0.0	0.8717861021107008	0.8717861021107008	0.6401
22	0.0	0.8632010500719214	0.8632010500719214	0.64051
23	0.0	0.8606326009971987	0.8606326009971987	0.63653
24	0.0	0.862080633147876	0.862080633147876	0.63715
25	0.0	0.8687161879384869	0.8687161879384869	0.62915
26	0.0	0.8613538756366413	0.8613538756366413	0.66401
27	0.0	0.8576652563578671	0.8576652563578671	0.64505
28	0.0	0.876910074413486	0.876910074413486	0.64595
29	0.0	0.8542559468994426	0.8542559468994426	0.64987
30	0.0	0.8697354808942751	0.8697354808942751	0.64294
31	0.0	0.8678715238469317	0.8678715238469317	0.65386
32	0.0	0.8844322147886601	0.8844322147886601	0.64206
33	0.0	0.8656442869691757	0.8656442869691757	0.64462
34	0.0	0.8472583982768045	0.8472583982768045	0.66061
35	0.0	0.8581545156213735	0.8581545156213735	0.63148
36	0.0	0.8575817510824176	0.8575817510824176	0.63109
37	0.0	0.8647516350353599	0.8647516350353599	0.64387
38	0.0	0.8500006780030436	0.8500006780030436	0.66913
39	0.0	0.8532200856638904	0.8532200856638904	0.64374
40	0.0	0.8479171984261425	0.8479171984261425	0.6396
41	0.0	0.8579305504448186	0.8579305504448186	0.64037
42	0.0	0.8538913197260094	0.8538913197260094	0.63571
43	0.0	0.8732872941984351	0.8732872941984351	0.64375
44	0.0	0.8647723802413266	0.8647723802413266	0.66423
45	0.0	0.8520261281892865	0.8520261281892865	0.65944
46	0.0	0.8621858175057491	0.8621858175057491	0.63641
47	0.0	0.8757303537919072	0.8757303537919072	0.63739
48	0.0	0.859337902062962	0.859337902062962	0.66079
49	0.0	0.8723157148969282	0.8723157148969282	0.64229
50	0.05	0.48608404829003776	0.48608404829003776	0.6533
51	0.05	0.5213320367101583	0.5213320367101583	0.67126
52	0.05	0.550465234158897	0.550465234158897	0.65407
53	0.05	0.571649493718921	0.571649493718921	0.64956
54	0.05	0.5022341733948646	0.5022341733948646	0.66025
55	0.05	0.49377050377109116	0.49377050377109116	0.65077
56	0.05	0.4918056361147573	0.4918056361147573	0.66377
57	0.05	0.4583081676032918	0.4583081676032918	0.64195
58	0.05	0.5160746660094082	0.5160746660094082	0.64003
59	0.05	0.5236323957372686	0.5236323957372686	0.66354
60	0.05	0.4936863734272596	0.4936863734272596	0.65904
61	0.05	0.513326466773396	0.513326466773396	0.65217
62	0.05	0.4809454784695378	0.4809454784695378	0.63953
63	0.05	0.5242082147113863	0.5242082147113863	0.68679
64	0.05	0.5249915631485976	0.5249915631485976	0.64997
65	0.05	0.4544657364537268	0.4544657364537268	0.64961
66	0.05	0.4965396871646601	0.4965396871646601	0.64527
67	0.05	0.5116605389573023	0.5116605389573023	0.64133
68	0.05	0.5324468792959988	0.5324468792959988	0.64154
69	0.05	0.5428169757964771	0.5428169757964771	0.64339
70	0.05	0.5244602562873408	0.5244602562873408	0.63597
71	0.05	0.4678931319633788	0.4678931319633788	0.64647
72	0.05	0.5259109775146436	0.5259109775146436	0.64156
73	0.05	0.5417019491861547	0.5417019491861547	0.62567
74	0.05	0.5371561086466109	0.5371561086466109	0.64139
75	0.05	0.5069228075888056	0.5069228075888056	0.64128
76	0.05	0.5617152037290867	0.5617152037290867	0.67565
77	0.05	0.5018440782608108	0.5018440782608108	0.63116
78	0.05	0.4405261839443922	0.4405261839443922	0.64076
79	0.05	0.5258249752988966	0.5258249752988966	0.64052
80	0.05	0.5344282418861402	0.5344282418861402	0.63865
81	0.05	0.5255107657817581	0.5255107657817581	0.63588
82	0.05	0.5518038685505572	0.5518038685505572	0.65068
83	0.05	0.5282079435778382	0.5282079435778382	0.6228
84	0.05	0.5017431620619417	0.5017431620619417	0.62056
85	0.05	0.5250182250462592	0.5250182250462592	0.68322
86	0.05	0.5227583871740261	0.5227583871740261	0.65329
87	0.05	0.47236819905459254	0.47236819905459254	0.64116
88	0.05	0.48366427823719765	0.48366427823719765	0.71394
89	0.05	0.5446194393596018	0.5446194393596018	0.66287
90	0.05	0.5640181729035659	0.5640181729035659	0.62584
91	0.05	0.4911859268695196	0.4911859268695196	0.62904
92	0.05	0.48211368964030477	0.48211368964030477	0.64007
93	0.05	0.5482676760885223	0.5482676760885223	0.60208
94	0.05	0.592524651286073	0.592524651286073	0.64621
95	0.05	0.5177227226211949	0.5177227226211949	0.62944
96	0.05	0.47790465537805016	0.47790465537805016	0.63299
97	0.05	0.5011689221858203	0.5011689221858203	0.6318
98	0.05	0.5544512101746535	0.5544512101746535	0.62994
99	0.05	0.507175870941969	0.507175870941969	0.63673
100	0.1	0.3429397394517232	0.3429397394517232	0.64688
101	0.1	0.305382443543756	0.305382443543756	0.65783
102	0.1	0.2888889018849793	0.2888889018849793	0.64514
103	0.1	0.3110829641283549	0.3110829641283549	0.62665
104	0.1	0.3326484483002424	0.3326484483002424	0.62061
105	0.1	0.38570552241279743	0.38570552241279743	0.63108
106	0.1	0.36258548485406583	0.36258548485406583	0.62608
107	0.1	0.2638531312420389	0.2638531312420389	0.64295
108	0.1	0.31942934124194805	0.31942934124194805	0.63284
109	0.1	0.3381211656080273	0.3381211656080273	0.63617
110	0.1	0.25842903273045276	0.25842903273045276	0.68406
111	0.1	0.27506765185258264	0.27506765185258264	0.63181
112	0.1	0.30573659422830823	0.30573659422830823	0.63281
113	0.1	0.30536623893662346	0.30536623893662346	0.64341
114	0.1	0.3649344372253025	0.3649344372253025	0.6427
115	0.1	0.3044474013360936	0.3044474013360936	0.64735
116	0.1	0.25323136868995355	0.25323136868995355	0.64042
117	0.1	0.3680913171913321	0.3680913171913321	0.63701
118	0.1	0.3193378169859285	0.3193378169859285	0.64517
119	0.1	0.2925770870344432	0.2925770870344432	0.64427
120	0.1	0.29819216460378145	0.29819216460378145	0.63248
121	0.1	0.3207407928616383	0.3207407928616383	0.6305
122	0.1	0.4041617195282586	0.4041617195282586	0.62468
123	0.1	0.3137858282372473	0.3137858282372473	0.64595
124	0.1	0.3237880157254702	0.3237880157254702	0.63721
125	0.1	0.2915857719882541	0.2915857719882541	0.65313
126	0.1	0.3074666035293576	0.3074666035293576	0.62714
127	0.1	0.31338698647455115	0.31338698647455115	0.62899
128	0.1	0.3429590924632902	0.3429590924632902	0.6507
129	0.1	0.3333494266015515	0.3333494266015515	0.65573
130	0.1	0.38977416250417407	0.38977416250417407	0.63397
131	0.1	0.3285195066189361	0.3285195066189361	0.66472
132	0.1	0.3279926003254588	0.3279926003254588	0.64593
133	0.1	0.2881693356052365	0.2881693356052365	0.65314
134	0.1	0.2845707892063326	0.2845707892063326	0.66647
135	0.1	0.31736291553249885	0.31736291553249885	0.64193
136	0.1	0.3318510536583728	0.3318510536583728	0.62856
137	0.1	0.303659401835155	0.303659401835155	0.63701
138	0.1	0.3451585494619359	0.3451585494619359	0.64126
139	0.1	0.31995688073424045	0.31995688073424045	0.64286
140	0.1	0.31121645871356235	0.31121645871356235	0.64145
141	0.1	0.3668626205671147	0.3668626205671147	0.63524
142	0.1	0.3205089083182706	0.3205089083182706	0.68312
143	0.1	0.342072444633486	0.342072444633486	0.63932
144	0.1	0.31431799431699464	0.31431799431699464	0.65159
145	0.1	0.3199613675986994	0.3199613675986994	0.64918
146	0.1	0.300807355894161	0.300807355894161	0.6471
147	0.1	0.30419857618356083	0.30419857618356083	0.63821
148	0.1	0.2479278160116267	0.2479278160116267	0.64846
149	0.1	0.3795002977708566	0.3795002977708566	0.65625
150	0.15	0.21020742171134582	0.21020742171134582	0.6465
151	0.15	0.19797877706156522	0.19797877706156522	0.6797
152	0.15	0.2266959422683985	0.2266959422683985	0.64952
153	0.15	0.22669138088874535	0.22669138088874535	0.67232
154	0.15	0.18748181137410316	0.18748181137410316	0.65046
155	0.15	0.20734178384750393	0.20734178384750393	0.65428
156	0.15	0.2066315930669209	0.2066315930669209	0.65289
157	0.15	0.22136028853254996	0.22136028853254996	0.65066
158	0.15	0.18210388282179332	0.18210388282179332	0.64341
159	0.15	0.21266522821548137	0.21266522821548137	0.65536
160	0.15	0.2107130552369202	0.2107130552369202	0.65858
161	0.15	0.19153585912959883	0.19153585912959883	0.6624
162	0.15	0.21262840829931184	0.21262840829931184	0.66476
163	0.15	0.1798052249230379	0.1798052249230379	0.6552
164	0.15	0.18766086353314942	0.18766086353314942	0.73095
165	0.15	0.16966269328074735	0.16966269328074735	0.69448
166	0.15	0.2360439264240516	0.2360439264240516	0.65373
167	0.15	0.20100150568896222	0.20100150568896222	0.62909
168	0.15	0.2140576792049681	0.2140576792049681	0.64137
169	0.15	0.20034904364743505	0.20034904364743505	0.65265
170	0.15	0.1995832926073425	0.1995832926073425	0.65542
171	0.15	0.1807506255216242	0.1807506255216242	0.66992
172	0.15	0.2868603458509607	0.2868603458509607	0.66184
173	0.15	0.18059524968024396	0.18059524968024396	0.65019
174	0.15	0.2416087284069712	0.2416087284069712	0.68363
175	0.15	0.18336429112196717	0.18336429112196717	0.64499
176	0.15	0.18531770249842602	0.18531770249842602	0.64828
177	0.15	0.21181512254840232	0.21181512254840232	0.64591
178	0.15	0.21820077479356273	0.21820077479356273	0.70636
179	0.15	0.2698074357208334	0.2698074357208334	0.65057
180	0.15	0.18078937792634517	0.18078937792634517	0.70638
